file,prompt,name,alt,ar,position
,"A bowl of thick strained homemade Greek yogurt with honey and nuts, kitchen table, natural light.",yogur-griego-casero-con-miel,"Yogur griego casero espeso y colado, servido en un bol con miel y nueces picadas",4:3,center
,"A pot of braised beef shank in tomato and wine sauce with visible marrow bone, rustic table, natural light.",osobuco-a-la-olla-con-vino,"Osobuco a la olla con tomate, locote y vino, servido humeante en una cazuela sobre la mesa",4:3,center
,"Homemade corn tortilla tacos filled with seasoned beef, onion and cilantro on a wooden board, kitchen table, natural light.",tacos-caseros-tortillas-de-maiz,"Tacos caseros con tortillas de maíz rellenas de carne, cebolla y cilantro, servidos sobre una tabla",4:3,center
,"Roasted chicken thighs with crispy skin on a baking tray, quincho table, warm natural light.",muslos-de-pollo-al-horno-piel-crocante,"Muslos de pollo al horno con la piel dorada y crocante, servidos sobre una fuente en la mesa",4:3,center
,"A stack of oat and banana pancakes topped with yogurt and fruit, wooden table, bright natural light, healthy breakfast.",panqueques-de-avena-y-banana,"Panqueques de avena y banana apilados con yogur y fruta, servidos en un plato para el desayuno",4:3,center
,"Sliced roasted beef eye round with onion wine sauce on a wooden board, quincho table, warm natural light.",peceto-al-horno-en-salsa-cortado,"Peceto al horno cortado en rodajas con salsa de cebolla y vino, servido sobre una tabla de madera",4:3,center
,"A bowl of lentil salad with tomato, red pepper and herbs, wooden table, bright natural light, healthy home meal.",ensalada-de-lentejas-con-tomate,"Ensalada de lentejas con tomate, locote y huevo duro, servida en un bol sobre una mesa de madera",4:3,center
,"A thick pot of bolognese meat sauce simmering, wooden spoon resting on the side, kitchen counter, natural light.",salsa-bolonesa-casera-olla,"Salsa boloñesa casera espesa cocinándose a fuego lento en una olla, lista para acompañar fideos",4:3,center
,"A bowl of homemade vegetable soup with visible chunks of pumpkin and corn, steam rising, kitchen table, natural light.",sopa-de-verduras-casera-bol,"Sopa de verduras casera con zapallo, choclo y acelga, servida humeante en un bol sobre la mesa",4:3,center
,"A skillet vegetable omelette with peppers and greens, one slice lifted, kitchen table, natural light.",tortilla-de-verduras-en-sarten,"Tortilla de verduras a la sartén con locote y acelga, con una porción levantada mostrando el relleno",4:3,center
,"Skewered chipa dough wrapped around wooden sticks roasting over open coals, quincho setting, warm light, no faces.",chipa-asador-sobre-brasas,Chipa asador enrollada en palos de madera dorándose sobre las brasas de un quincho paraguayo,4:3,center
,"Grilled skirt steak with crisp charred edges sliced on a wooden board, criollo sauce alongside, quincho setting, natural light.",entrana-a-la-parrilla-cortada,"Entraña jugosa a la parrilla cortada en tiras sobre una tabla de madera, con salsa criolla en un quincho",4:3,center
,"A pot of chicken stew with potato and carrot in a rich tomato sauce, steam rising, rustic kitchen table, natural light.",estofado-de-pollo-con-papa,"Estofado de pollo casero con papa y zanahoria en salsa espesa, servido humeante en una olla de barro",4:3,center
,"Grilled homemade beef burgers with melted cheese on a wooden board, quincho setting, natural light, no faces.",hamburguesas-caseras-a-la-parrilla,"Hamburguesas caseras jugosas con queso derretido, recién sacadas de la parrilla sobre una tabla de madera",4:3,center
,"A rustic loaf of homemade bread with a golden crust, sliced on a wooden board, kitchen counter, natural light.",pan-casero-con-levadura-rebanado,"Pan casero con levadura, de corteza dorada, cortado en rebanadas sobre una tabla de madera",4:3,center
,"Golden fried cassava and ground beef patties stacked on a plate, quincho table, natural light.",payagua-mascada-tortitas-doradas,"Payagua mascada, tortitas doradas de mandioca y carne molida, apiladas en un plato",4:3,center
,"A loaded steak sandwich with ham, cheese, egg, tomato and lettuce cut in half on a wooden board, quincho table, natural light.",sandwich-de-lomito-completo,"Sándwich de lomito completo cortado a la mitad, con jamón, queso, huevo, tomate y lechuga",4:3,center
,"A wok of chicken chop suey with crisp colorful vegetables, steam rising, kitchen counter, natural light.",chop-suey-de-pollo-wok,"Chop suey de pollo con verduras crocantes salteado en un wok, servido caliente en una cocina casera",4:3,center
,"A slice of beef lasagna with visible layers of pasta, meat sauce and melted cheese on a plate, kitchen table, natural light.",lasana-de-carne-porcion-capas,"Porción de lasaña de carne casera con capas de pasta, salsa y queso gratinado, servida en un plato",4:3,center
,"Golden breaded beef and chicken milanesas stacked on a plate with lemon wedges, kitchen table, natural light.",milanesas-crocantes-con-limon,"Milanesas de carne y de pollo doradas y crocantes apiladas en un plato, con gajos de limón",4:3,center
,"A golden braided brioche bread loaf on a wooden board, kitchen counter, warm natural light.",pan-brioche-casero-trenzado,"Pan brioche casero trenzado y dorado, recién horneado sobre una tabla de madera en la cocina",4:3,center
,"Crusty French bread loaves cooling on a wire rack, kitchen counter, warm natural light, Paraguayan bakery style.",pan-frances-casero-crocante,"Panes franceses caseros crocantes y aireados, recién horneados sobre una rejilla en la cocina",4:3,center
,"A lattice-top guava jam tart on a wooden board, one slice cut, kitchen counter, warm natural light.",pasta-frola-de-guayaba-cortada,"Pasta frola con dulce de guayaba y enrejado de masa, con una porción cortada sobre una tabla de madera",4:3,center
,"A grilled juicy chicken breast with golden sear marks on a plate with lemon, kitchen table, natural light.",pechuga-de-pollo-a-la-plancha-jugosa,"Pechuga de pollo jugosa a la plancha con marcas doradas y gajos de limón, servida en un plato",4:3,center
,"A homemade margherita pizza fresh from the oven with melted cheese and basil, wooden board, warm natural light.",pizza-casera-de-muzzarella-horno,"Pizza casera de muzzarella recién horneada con queso derretido y albahaca, sobre una tabla de madera",4:3,center
,"Chicken stewed with red and green peppers and tomato in a pot, steam rising, rustic table, natural light.",pollo-a-la-portuguesa-con-locote,"Pollo a la portuguesa en salsa con locote rojo y verde, servido humeante en una cazuela",4:3,center
,"A skillet of crumbly fried reviro dough with scallions, kitchen table, warm natural light, Paraguayan home.",reviro-paraguayo-en-sarten,"Reviro paraguayo, masa frita en grumos con cebollita de hoja, servido en una sartén",4:3,center
,"A cold chicken salad with vegetables and mayonnaise in a bowl, festive table setting, natural light.",salpicon-de-pollo-frio-bol,"Salpicón de pollo frío con verduras y mayonesa, servido en un bol para las fiestas de fin de año",4:3,center
,"A jar of creamy homemade natural yogurt with a spoon, kitchen counter, natural light, Paraguayan home.",yogur-natural-casero-cremoso,"Yogur natural casero firme y cremoso, servido en un frasco con una cuchara sobre la mesa",4:3,center
,"A traditional guampa gourd of toasted yerba mate cocido with milk being poured, morning light, Paraguayan home, no faces.",cocido-paraguayo-guampa-mate,"Guampa de cocido paraguayo quemado con un chorro de leche, servido en una mesa de desayuno tradicional",4:3,center
,"Golden fried meat croquettes stacked on a plate with a bite showing the filling, kitchen table, natural light.",croquetas-de-carne-doradas-plato,"Croquetas de carne doradas y crocantes apiladas en un plato, con una partida a la mitad mostrando el relleno",4:3,center
,"Blocks of Paraguayan peanut brittle in dark molasses stacked on a wooden board, kitchen counter, natural light.",kai-ladrillo-dulce-de-mani,"Ladrillos de dulce de maní paraguayo en miel negra, apilados sobre una tabla de madera en la cocina",4:3,center
,"Sliced garlic bread with melted cheese on a wooden board, quincho table, warm natural light.",pan-al-ajo-con-queso-tabla,"Pan al ajo crocante con queso derretido, cortado en rebanadas sobre una tabla de madera",4:3,center
,"Roasted golden chicken quarters with potatoes and cassava on a baking tray, quincho table, warm natural light.",pollo-al-horno-con-papas-dorado,"Pollo al horno dorado con papas y mandioca, servido caliente en una fuente sobre la mesa de la cocina",4:3,center
,"A creamy chicken curry with coconut sauce in a bowl, steam rising, kitchen table, natural light.",pollo-con-curry-salsa-cremosa,"Pollo con curry casero en salsa cremosa, servido caliente en un bol sobre la mesa",4:3,center
,"A plate of noodles in red chicken sauce with visible chicken pieces, kitchen table, natural light.",tallarin-de-pollo-salsa-roja,"Tallarín de pollo con salsa roja y presas de pollo, servido caliente en un plato sobre la mesa",4:3,center
,"A chicken wrap with vegetables and yogurt sauce cut in half showing the filling, wooden board, natural light.",wrap-de-pollo-con-verduras-cortado,"Wrap de pollo con verduras y salsa de yogur, cortado a la mitad mostrando el relleno",4:3,center
,"A clear pot of homemade chicken broth with carrots and celery, steam rising, rustic kitchen, natural light.",caldo-de-pollo-casero-olla,"Olla de caldo de pollo casero claro con zanahoria y apio, humeando sobre la hornalla de una cocina paraguaya",4:3,center
,"A basket of golden cassava starch chipa rings on a woven tray, quincho setting, morning light, no faces.",chipa-almidon-canasta-roscas,"Canasta con roscas doradas de chipa almidón recién horneadas, dispuestas sobre una bandeja tejida en un quincho",4:3,center
,"A sliced roasted pork loin with mustard glaze on a wooden board, quincho table, warm natural light.",lomo-de-cerdo-al-horno-cortado,"Lomo de cerdo al horno jugoso, cortado en rodajas con salsa de mostaza, sobre una tabla de madera",4:3,center
,"A tall golden sponge cake on a cooling rack, one slice cut showing the airy crumb, home kitchen counter, natural light.",bizcochuelo-esponjoso-cortado,"Bizcochuelo alto y esponjoso con una porción cortada que muestra la miga aireada, sobre una rejilla en la cocina",4:3,center
,"A large tray of golden chipa mestizo pieces fresh from the oven, cooling on a rustic wooden table, natural light.",chipa-mestizo-bandeja-horno,"Bandeja de chipa mestizo dorada recién horneada, apilada sobre una mesa de madera en una cocina paraguaya",4:3,center
,"Grilled pork chops with golden sear marks on a plate with lemon wedges, quincho table, natural light.",chuletas-de-cerdo-a-la-parrilla,"Chuletas de cerdo jugosas a la parrilla con marcas doradas y limón, servidas en un plato sobre la mesa",4:3,center
,"A tray of golden fried beef empanadas stacked on a plate, one bitten open showing the filling, quincho table, natural light.",empanadas-de-carne-fritas-bandeja,"Empanadas de carne paraguayas fritas y doradas apiladas en una bandeja, una abierta mostrando el relleno",4:3,center
,"A homemade caramel flan turned out on a plate with caramel sauce pooling around it, kitchen table, natural light.",flan-casero-con-caramelo-plato,"Flan casero de leche condensada desmoldado en un plato, bañado en caramelo líquido, sobre la mesa",4:3,center
,"Glossy candied bitter orange peel strips in dark syrup on a plate, kitchen counter, natural light.",kosereva-cascara-de-apepu,"Kosereva, tiras de cáscara de naranja agria confitadas en miel negra, servidas en un plato",4:3,center
,"Golden fried chicken nuggets piled on a plate, one broken open showing the juicy interior, kitchen table, natural light.",nuggets-de-pollo-caseros-dorados,"Nuggets de pollo caseros dorados y crocantes apilados en un plato, uno partido mostrando el interior jugoso",4:3,center
,"A sliced stuffed meatloaf showing egg and vegetables inside, on a wooden board, kitchen table, natural light.",pan-de-carne-relleno-cortado,"Pan de carne relleno cortado en rodajas, mostrando el huevo y las verduras por dentro, en una tabla",4:3,center
,"A hearty pot of Paraguayan puchero with beef, cassava and corn, steam rising, rustic table, natural light.",puchero-paraguayo-con-mandioca,"Puchero paraguayo con osobuco, mandioca y choclo, servido humeante en una olla de barro",4:3,center
,"A clay pot of chicken stew with pumpkin, corn and potato, steam rising on a rustic table, natural light.",cazuela-de-pollo-con-zapallo,"Cazuela de pollo con zapallo, choclo y papa servida humeante en una olla de barro sobre la mesa",4:3,center
,"A clay pot of Paraguayan hominy stew with beef, steam rising, rustic table, warm natural light.",locro-paraguayo-con-carne-olla,"Locro paraguayo con carne cocido a fuego lento, servido humeante en una olla de barro",4:3,center
,"Sliced Arabian-style beef lomito wrapped in flatbread with yogurt sauce, wooden board, natural light, no faces.",lomito-arabe-en-pan-arabe,"Lomito árabe casero de carne cortada en tiras, servido en pan árabe con salsa de yogur",4:3,center
,"A bowl of creamy Paraguayan corn mbaipy porridge with chicken and cheese, steam rising, rustic table, natural light.",mbaipy-polenta-con-pollo,"Mbaipy, polenta paraguaya cremosa con pollo y queso, servida caliente en un bol de barro",4:3,center
,"A round golden mbeju flatbread with melted cheese peeking through, on a griddle, quincho setting, natural light.",mbeju-mestizo-en-budare,"Mbeju mestizo dorado con queso derretido asomando, cocinándose sobre un budare en un quincho paraguayo",4:3,center
,"A bowl of Paraguayan river fish soup with melted cheese swirl, steam rising, rustic table, natural light.",pira-caldo-sopa-de-pescado,"Pira caldo, sopa paraguaya de pescado de río con queso derretido, servida humeante en un bol",4:3,center
,"Chicken pieces in a creamy mustard sauce in a skillet, steam rising, kitchen table, natural light.",pollo-a-la-mostaza-salsa-crema,"Pollo a la mostaza con salsa cremosa, servido caliente en una sartén sobre la mesa",4:3,center
,"Sliced pork tenderloin with creamy mustard sauce on a wooden board, quincho table, warm natural light.",solomillo-de-cerdo-salsa-mostaza,"Solomillo de cerdo cortado en medallones con salsa de mostaza y crema, sobre una tabla de madera",4:3,center
,"Golden baked corn empanadas on a tray, one broken open showing the creamy corn filling, kitchen table, natural light.",empanadas-de-choclo-relleno-cremoso,"Empanadas de choclo doradas al horno, una partida mostrando el relleno cremoso de choclo y queso",4:3,center
,"A bowl of jopara stew mixing hominy, beans and beef, steam rising, rustic table, natural light, Paraguayan home.",jopara-guiso-locro-poroto,"Jopara paraguayo, guiso de locro y poroto con carne, servido humeante en un bol de barro",4:3,center
,"Golden crispy fried dough pieces piled on a plate, quincho table, natural light, Paraguayan snack.",pireca-masa-frita-crocante,"Pireca paraguaya, masa frita crocante y dorada, apilada en un plato sobre la mesa",4:3,center
,"A sliced savory corn and onion tart with cheese, wooden board, kitchen table, natural light.",tarta-de-choclo-con-queso-cortada,"Tarta de choclo con cebolla y queso, cortada en porciones sobre una tabla de madera",4:3,center
,"Golden mini chipa muffins cooling in a muffin tin on a kitchen counter, natural light, Paraguayan home setting.",chipa-en-licuadora-moldes,"Chipa en licuadora horneada en moldes de muffins, dorada y recién salida del horno en una cocina paraguaya",4:3,center
,"A glass pitcher of Paraguayan fruit punch clericó with chopped fruit floating inside, festive table, natural light.",clerico-jarra-frutas-fiesta,"Jarra de clericó con frutas picadas flotando, servido para una fiesta de fin de año en una mesa paraguaya",4:3,center
,"A jar of thick homemade dulce de leche with a spoon lifting a ribbon of it, kitchen counter, warm natural light.",dulce-de-leche-casero-frasco,Frasco de dulce de leche casero espeso y brillante con una cuchara levantando un hilo dorado,4:3,center
,"A juicy chicken burger patty on a bun with lettuce and tomato, wooden board, quincho table, natural light.",hamburguesa-de-pollo-casera-pan,Hamburguesa de pollo casera y jugosa servida en pan con lechuga y tomate sobre una tabla de madera,4:3,center
,"Four glasses of colorful natural fruit juices (passion fruit, orange and carrot, pineapple, strawberry) on a wooden table, bright natural light.",jugos-naturales-frutas-vasos,"Cuatro vasos de jugos naturales de mburucuyá, naranja y zanahoria, piña y frutilla sobre una mesa de madera",4:3,center
,"Soft golden potato bread rolls with sesame seeds on a wooden board, kitchen counter, natural light.",pan-de-papa-bollitos-dorados,"Bollitos de pan de papa esponjosos y dorados con semillas de sésamo, sobre una tabla de madera",4:3,center
,"Cassava starch alfajores coated in shredded coconut on a wooden board, one cut in half showing dulce de leche filling, home kitchen, natural light.",alfajores-paraguayos-de-almidon,"Alfajores paraguayos de almidón de mandioca cubiertos de coco, uno cortado a la mitad mostrando el relleno de dulce de leche",4:3,center
,"A whole glazed pork rib rack fresh from the oven on a wooden board, quincho setting, warm natural light.",costillar-de-cerdo-glaseado-horno,"Costillar de cerdo glaseado y tierno recién salido del horno, servido entero sobre una tabla de madera",4:3,center
,"Star and tree shaped Christmas cookies decorated with white icing on a cooling rack, festive kitchen table, natural light.",galletas-navidenas-glaseadas,"Galletas navideñas con formas de estrella y árbol, decoradas con glasé blanco sobre una rejilla de cocina",4:3,center
,"Golden fried cassava croquettes with melted cheese oozing from a cut one, plate on a wooden table, natural light.",croquetas-de-mandioca-con-queso,"Croquetas de mandioca doradas con queso Paraguay derretido, una cortada mostrando el relleno cremoso",4:3,center
,"A tall glass of creamy banana milkshake with a dusting of cinnamon, wooden table, bright natural light.",licuado-de-banana-con-leche-vaso,"Licuado de banana con leche, cremoso y espolvoreado con canela, servido en un vaso alto sobre la mesa",4:3,center
,"Shredded pulled pork piled inside a crusty bread roll on a wooden board, quincho setting, natural light, no faces.",bondiola-desmechada-en-pan,"Bondiola de cerdo desmechada servida dentro de un pan crocante, lista para un sándwich en un quincho paraguayo",4:3,center
,"A bowl of Paraguayan ground beef soup with rice, steam rising, rustic table, natural light.",so-o-josopy-sopa-de-carne,"So'o josopy, sopa paraguaya de carne molida con arroz, servida humeante en un bol de barro",4:3,center
,"A breaded chicken breast topped with melted cheese and tomato sauce, gratin bubbling, kitchen table, natural light.",supremas-a-la-napolitana-gratinadas,"Supremas a la napolitana doradas y gratinadas con queso y salsa de tomate, servidas en un plato",4:3,center
,"Two cornstarch alfajores dusted with coconut, dulce de leche oozing from the middle, stacked on a plate in a Paraguayan home kitchen, warm natural light.",alfajores-de-maicena-con-coco,"Alfajores de maicena rellenos de dulce de leche y cubiertos de coco rallado, apilados sobre un plato en una cocina paraguaya",4:3,center
,"A bowl of creamy rice pudding dusted with cinnamon on a rustic table, Paraguayan home kitchen, soft natural light, no people.",arroz-con-leche-con-canela,"Bol de arroz con leche cremoso espolvoreado con canela, servido en una mesa de madera de una cocina paraguaya",4:3,center
,"A skillet of yellow arroz con pollo with chicken pieces, red pepper and carrot, steam rising, rustic kitchen table, natural light.",arroz-con-pollo-en-sarten,"Arroz con pollo amarillo con presas de pollo, locote rojo y zanahoria, servido caliente en una sartén sobre la mesa",4:3,center
,"A bowl of colorful rice primavera with carrots, peas and corn kernels on a wooden table, bright natural light, Paraguayan home setting.",arroz-primavera-con-verduras,"Arroz primavera suelto y colorido con zanahoria, arvejas y choclo, servido en un bol sobre una mesa de madera",4:3,center
,"A glass jar of pickled eggplant slices with garlic and oregano, sitting on a kitchen counter, natural light, Paraguayan home setting.",berenjenas-en-escabeche-frasco,"Frasco de berenjenas en escabeche con ajo y orégano, listo para conservar en una cocina casera paraguaya",4:3,center
,"A sliced banana loaf cake on a wooden board, moist crumb visible, home kitchen counter, warm natural light.",budin-de-banana-casero-cortado,"Budín de banana casero cortado en rebanadas sobre una tabla de madera, mostrando la miga húmeda y dorada",4:3,center
,"A slice of bread pudding with caramel sauce on a plate, home kitchen table, warm natural light, no people.",budin-de-pan-con-caramelo,"Porción de budín de pan casero bañada en caramelo, servida en un plato sobre la mesa de una cocina paraguaya",4:3,center
,"Glossy green papaya preserve pieces in syrup in a glass jar, kitchen counter, natural light, Paraguayan home.",dulce-de-mamon-en-almibar,"Dulce de mamón verde en almíbar, trozos brillantes servidos en un frasco de vidrio en una cocina paraguaya",4:3,center
,"A bowl of potato salad with chopped egg and scallions, wooden table, natural light, ready for an asado.",ensalada-de-papa-con-huevo,"Ensalada de papa con huevo picado y cebollita de hoja, servida en un bol como acompañamiento de asado",4:3,center
